,HL60,K562,SUDHL4,THP1
BULK1,0.343081775373704,0.0396771503716685,0.408069247835482,0.209171826419146
BULK2,0.576176329009896,0.0284746728670297,0.247091337508912,0.148257660614162
BULK3,0.332952118375144,0.122882146726535,0.238693858239453,0.305471876658868
BULK4,0.0818801272903468,0,0.779742014031541,0.138377858678112
BULK5,0.0838937766177682,0.17097167324274,0.385567664799878,0.359566885339614
BULK6,0.194013628813177,0.157906764743871,0.356098468247819,0.291981138195133
