ensembl,symbol,BULK1,BULK2,BULK3,BULK4,BULK5,BULK6,HL60,K562,SUDHL4,THP1
ENSG00000168476,REEP4,57.4832836,60.02120832,36.52148014,52.89199601,59.07462796,52.15452436,40.40926669,34.85807265,54.76807381,53.24445134
ENSG00000168487,BMP1,13.97873444,10.91114675,14.81139682,10.16788281,17.19993308,18.96946387,4.944310939,23.78932864,9.34527307,17.21850693
ENSG00000168490,PHYHIP,0.095464528,0.415851328,0.68155698,0.209059273,0.567460818,0.659407394,0.050281128,1.058872195,0,0.290285388
ENSG00000168495,POLR3D,33.88990741,29.8026785,36.52148014,34.38074768,48.66465708,42.18673817,24.62099244,60.86397375,43.27467314,28.18823895
ENSG00000197181,PIWIL2,0,0,0.083116705,0,0,0.230025835,0,0.127064663,0,0.137503605
ENSG00000104635,SLC39A14,76.79439381,51.90220621,69.80140879,117.0161766,75.98104683,76.90530422,43.42613438,92.37601026,174.7694585,70.96713816
ENSG00000120910,PPP3CC,36.9447723,17.64397777,14.44568331,63.38297043,28.15779716,26.02358948,4.508541161,25.68118029,101.439359,11.29057376
ENSG00000120896,SORBS3,20.49759792,18.63409998,18.13606501,19.51853392,26.27930618,20.50296944,0.55309241,6.734427158,10.33671658,61.6474494
ENSG00000120913,PDLIM2,20.71580256,15.06966002,8.893487426,22.63541763,12.69938176,9.829770689,13.59266499,0.098828071,24.91460816,22.74920747
ENSG00000241852,C8orf58,1.186487704,2.396095746,2.476877807,1.159328694,3.111250694,3.450387527,0.251405641,2.866014073,1.193404223,3.437590115
ENSG00000158941,CCAR2,127.0632867,103.3093513,114.3187159,142.7114618,137.8147084,146.9251684,88.54506674,129.9306774,167.866074,162.2695316
ENSG00000253200,---,1.513794657,0.732690435,1.745450803,1.425404133,1.350165396,1.794201514,0.687175419,1.397711297,1.450445133,2.215335852
ENSG00000147439,BIN3,21.80682573,25.80258477,19.76515243,24.99208579,26.31844141,31.17616819,15.06757808,26.89535374,21.79339712,34.6967429
ENSG00000179388,EGR3,0.45004706,0.574270881,0.382336843,0.24707005,0.410919903,0.56739706,0.486050906,0.550613541,0,0.53473624
ENSG00000134020,PEBP4,0.313669163,0,0.049870023,0.551156265,0.097838072,0.230025835,0,0,0.642602274,0.137503605
ENSG00000245025,---,0,0.059407333,0.216103433,0.475134711,0.097838072,0.076675278,0,0.098828071,0.275400975,0.290285388
ENSG00000008853,RHOBTB2,58.84706257,31.58489847,19.36619225,101.279715,40.56366471,34.33518966,11.4138161,2.894250665,175.8710624,52.358317
ENSG00000120889,TNFRSF10B,17.49728419,14.79242581,14.91113686,26.47450609,21.19172643,21.60709345,11.44733685,29.97314226,44.44971729,9.854424997
ENSG00000253616,---,0.068188949,0.099012221,0.315843479,0.36110238,0.17610853,0.138015501,0.050281128,0.127064663,0.091800325,0.473623527
ENSG00000173535,TNFRSF10C,0.586424957,0.495061105,0.382336843,0.399113157,0.606596047,0.659407394,0.351967897,0,0.091800325,1.329201511
ENSG00000173530,TNFRSF10D,23.5797384,6.316979695,1.047270482,57.30124613,10.62521463,11.7619877,0.55309241,0.042354888,106.8739382,2.154223139
ENSG00000104689,TNFRSF10A,10.13287775,7.148682351,9.591667747,11.49826,9.255481625,10.71920392,7.79357487,17.74669798,21.42619582,4.384837169
ENSG00000246582,TNFRSF10A-DT,7.487146547,5.010018379,5.967779413,10.47196903,8.355371361,10.1364718,1.826880991,12.09937961,13.64152827,2.795906627
ENSG00000250714,---,0,0,0.083116705,0.057016165,0.097838072,0.138015501,0,0.07059148,0,0.076390891
ENSG00000147457,CHMP7,52.68278162,38.71377838,34.32719913,75.47039747,51.24758219,52.98261736,22.14045678,41.69132788,105.8824947,47.80541987
ENSG00000104679,R3HCC1,50.11887716,49.64472757,37.08667373,60.07603284,58.40932907,53.56534948,27.20209035,42.90550133,62.95666278,56.94177049
ENSG00000134013,LOXL2,6.85980822,1.722812644,0.249350115,14.31105749,4.402713247,2.652964632,0.050281128,0.240011031,23.15204193,0.53473624
ENSG00000253837,LOC100507156,0,0.217826886,0.116363387,0.057016165,0.410919903,0.10734539,0,0,0,0.351398101
ENSG00000197217,ENTPD4,21.53406994,14.15874759,21.09501971,30.31359455,19.50891159,22.52719679,12.62056318,26.07649258,40.52066339,22.3825312
ENSG00000253390,---,0.150015687,0.099012221,0.249350115,0.285080827,0,0.230025835,0.08380188,0.183537847,0.532441884,0.229172674
ENSG00000253483,---,0,0.059407333,0.083116705,0,0.215243759,0.168685612,0,0.155301255,0,0
ENSG00000253986,---,0.068188949,0,0.116363387,0,0.097838072,0.138015501,0,0.38119399,0,0
ENSG00000147454,SLC25A37,40.19056625,38.71377838,53.64352135,30.04751911,66.94080896,67.52025014,19.82752488,110.8992145,37.4728926,23.0853274
ENSG00000167034,NKX3-1,0.45004706,0.61387577,0.548570252,0.24707005,0.450055132,0.322036169,0.050281128,0.07059148,0,1.268088798
ENSG00000159167,STC1,0,0.059407333,0.083116705,0.095026942,0.215243759,0.10734539,0.08380188,0.098828071,0.055080195,0.168059961
ENSG00000042980,ADAM28,1.731999292,0.930714877,1.811944167,1.995565786,1.741517684,1.456830289,0.351967897,0,0.899643184,5.026520657
ENSG00000134028,ADAMDEC1,0.286393584,0.574270881,0.714803662,1.159328694,0.136973301,0.506056837,0,0,0,1.512539651
ENSG00000147459,DOCK5,5.468753671,6.475399248,7.796346921,4.390244728,5.459364426,4.401160979,7.79357487,0,0,11.99336996
ENSG00000147437,GNRH1,0.040913369,0.217826886,0.216103433,0.095026942,0.254378988,0.168685612,0,0.211774439,0.091800325,0.137503605
ENSG00000104756,KCTD9,33.45349814,24.81246256,43.53653004,47.9886058,43.85102394,44.24163563,12.62056318,70.83149067,70.74133033,35.36898274
ENSG00000184661,CDCA2,74.63962304,44.7733263,68.87050169,113.3291312,79.7380288,82.67128515,28.10715066,110.0238802,166.2871084,62.96137273
ENSG00000221914,PPP2R2A,95.96912614,76.53644677,86.192023,140.2027505,120.634343,107.5754156,40.6103912,141.0841312,159.4204441,90.06486102
ENSG00000228451,SDAD1P1,0.968283069,0.891109988,2.377137761,1.235350248,2.798168863,2.16224285,0.184364137,3.854294788,1.230124353,1.237532442
ENSG00000104765,BNIP3L,86.01353965,86.16043465,99.69017588,97.97277738,133.2750219,143.9501676,39.97349691,179.28824,94.82973557,85.93975288
ENSG00000240694,PNMA2,0.313669163,0.297036663,0.781297026,0.399113157,0.371784674,0.506056837,0,0,0,1.054194302
ENSG00000092964,DPYSL2,9.314610367,21.48565194,7.330893374,29.81945445,26.55325278,26.39163082,1.893922495,1.962443134,15.99161659,13.15451151
ENSG00000253899,---,0,0.099012221,0.083116705,0.133037719,0.058702843,0,0,0.042354888,0.238680845,0.045834535
ENSG00000104228,TRIM35,20.71580256,16.97069467,19.6321657,26.85461386,24.51822088,25.56353781,10.60931805,15.54424382,31.52423155,38.4246184
ENSG00000120899,PTK2B,146.3471213,104.0618442,115.0501429,171.4476091,132.100965,113.0960356,76.41055447,61.96520083,188.4293468,258.1859349
ENSG00000120915,EPHX2,11.22390092,10.3962832,16.67321101,4.162180067,24.90957317,19.88956721,0,37.96409775,0,15.17123104
ENSG00000120885,CLU,1.568345816,2.079256639,1.778697485,1.957555009,2.132869973,2.530284187,0,0.240011031,0,5.943211355
ENSG00000168077,SCARA3,0.122740107,0.217826886,0.249350115,0.437123934,0.567460818,0.414046503,0,0,0,1.420870581
ENSG00000147419,CCDC25,72.81215922,47.58527338,44.03523026,133.0567244,62.59679856,64.29988845,28.67700345,47.33864625,175.3569805,58.4084756
ENSG00000171320,ESCO2,30.39863325,18.43607554,26.41448882,42.66709704,22.87454127,28.99859028,21.83877001,25.76589007,64.9395498,31.21331825
ENSG00000168078,PBK,69.2663339,49.28828358,56.43624264,120.9692974,92.88746569,86.13700773,12.88872919,113.0734321,169.1879987,51.56385173
ENSG00000189233,NUGGC,10.95114513,2.871354407,0,29.81945445,5.65504057,6.732089442,0,0,61.81833876,0.198616318
ENSG00000134014,ELP3,72.15754531,55.78348527,60.06013097,101.4697689,78.79878331,79.78829468,37.89521028,78.00358501,126.1152863,68.58374234
ENSG00000253690,---,0.231842425,0.178221998,0.083116705,0.475134711,0.097838072,0.444716615,0,0,1.009803573,0.290285388
ENSG00000168081,PNOC,6.041540838,2.712934853,1.080517164,13.93094972,3.9330905,4.462501202,0,0,20.98555426,3.559815542
ENSG00000186918,ZNF395,47.63679943,33.48593312,27.51162933,77.63701175,44.28151145,39.33441781,16.60953268,18.70674211,92.18588622,59.69184258
ENSG00000214050,FBXO16,1.050109807,0.61387577,0.648310298,1.653468794,0.958813107,0.782087839,0.117322632,0,2.258287991,1.970884999
ENSG00000104290,FZD3,2.904849207,2.31688597,2.410384443,8.039279308,4.207037102,3.174356525,0.385488649,0.352957398,7.545986703,6.921014765
ENSG00000012232,EXTL3,29.19850775,19.50540752,29.57292361,33.77257525,36.76754751,29.67333273,16.81065719,39.60182008,50.21477769,35.91899716
ENSG00000104299,INTS9,43.51818694,34.238426,40.11212179,54.75452408,53.12607317,51.51045202,22.50918505,66.45481894,69.19908487,40.47189429
ENSG00000147421,HMBOX1,9.669192899,9.049716992,8.694007334,13.66487428,13.59949203,12.89678182,2.832503555,9.783979078,7.729587353,14.52954755
ENSG00000259366,---,0.313669163,0.217826886,0.51532357,0.475134711,0.763136963,0.383376392,0.217884889,0.494140357,0.348841234,0.259729031
ENSG00000197892,KIF13B,9.832846375,6.316979695,14.81139682,6.594869787,11.7992715,10.22848214,3.972209127,12.43821871,1.303564613,24.24646895
