,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.21591472483887,1.22756569162122,0.878656420426376,0.245909766980664,0.158899355478433,0.0616013882002975,0.0277640059494298,0.00161130391670798,0,0.000867625185919683
SUDHL4_n2,1.17905405405405,1.16916916916917,0.992242242242242,0.268268268268268,0.149149149149149,0.0568068068068068,0.0294044044044044,0,0,0.00112612612612613
K562_n1,0.954993749131824,0.975691068203917,1.01574292725842,0.95911469185535,0.645043293049961,0.399268416909756,0.0950131962772607,0,0,0.000509329999536973
K562_n2,0.90659935088352,0.8832491886044,0.908537684817887,0.936440677966102,0.637892174540209,0.386224305805986,0.071583122971511,0,0,0
HL60_n1,1.28008192524322,1.44290834613415,0.967741935483871,0.148489503328213,0,0,0,0,0,0
HL60_n2,1.16926829268293,1.14926829268293,0.799024390243902,0.118536585365854,0,0,0,0,0,0
THP1_n2,1.10333963453056,1.09241755933627,1.11741230833858,1.03906742281033,0.289224952741021,0.0147027935307708,0.0356017643352237,0,0,0
THP1_n1,1.02832330010856,1.00059212474095,0.987368005526498,0.890160860554624,0.272377380834896,0.0119411822757328,0.0376986085068588,0,0,0
BULK1_n1,1.08928718922937,1.04096803502106,1.02841331461138,0.664904600644255,0.267778970843314,0.0925084661765921,0.0301478483521929,0,0,0.0028908895680185
BULK1_n2,1.29279923700525,1.28030519790176,1.13190271816881,0.774630424415832,0.303004291845494,0.094134477825465,0.0227944682880305,0,0,0
BULK2_n1,1.15494908350305,1.11209775967413,1.10484725050916,0.702403258655804,0.235437881873727,0.084806517311609,0.0177596741344196,0,0,0
BULK2_n2,1.23062177029505,1.1875312552092,1.09143190531755,0.772128688114686,0.257709618269712,0.0934322387064511,0.0126687781296883,0,0,0
BULK3_n1,1.02785707707892,1.0412100561746,1.02606133161433,0.856984989409706,0.334100745925039,0.14098904134819,0.0303895386315499,0,0,0.00340731190717377
BULK3_n2,1.033594003054,1.05233445930313,1.04252464022951,0.87677571607052,0.341076303734209,0.128638193512563,0.023876729443339,0,0,0.000879181898107445
BULK4_n1,1.0132967032967,0.982967032967033,0.872747252747253,0.616593406593407,0.235274725274725,0.0472527472527473,0.0234065934065934,0,0,0
BULK4_n2,1.20761686409375,1.02547446185199,0.955164947140492,0.679658642211183,0.286205578907146,0.0444529359317284,0.023054387976054,0,0,0
BULK5_n1,1.01721338096785,1.0167958056883,0.998700876908087,0.859648308820118,0.386025147311279,0.176402356980467,0.0422678977404538,0,0,0.00227346541084768
BULK5_n2,0.998951638634395,1.02042025616482,1.00460367382287,0.863986508045034,0.369980400200556,0.165413191120835,0.0427093304161539,0,0,0.00195997994439127
BULK6_n1,1.01867452962651,1.02766076944678,0.984086866984929,0.767949077974352,0.300243377328466,0.132734250678648,0.0281756061031545,0,0,0.0002808199943836
BULK6_n2,1.02409809677114,1.00071016002273,0.992803711769719,0.778477416911277,0.301912697661206,0.122762995928416,0.0251396648044693,0,0,9.46880030300161e-05
