,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.42265338227583,1.41373885684321,1.46617724174095,1.26848453067646,1.30047194546408,1.26953329837441,1.2674357629785,1.2254850550603,0.779234399580493,0.0204509701101206
SUDHL4_n2,1.21418949259093,1.24472384373597,1.3313875168388,1.30085316569376,1.44364616075438,1.51145038167939,1.44993264481365,1.3480017961383,0.697799730579255,0.00224517287831163
K562_n1,1.12235430559582,1.15279791243839,1.17058084468928,1.15221803421282,1.13897748139557,1.1192616217261,0.841596598047743,0.472697400212622,0.167488160819561,0
K562_n2,1.04762347688587,1.02929960003721,1.05990140452051,1.10306018044833,1.09282857408613,1.11282671379407,0.808017858803832,0.485257185378104,0.163333643382011,0
HL60_n1,1.34415584415584,1.53084415584416,1.25811688311688,1.37175324675325,1.33116883116883,0.772727272727273,0.025974025974026,0,0,0
HL60_n2,1.10810810810811,1.21921921921922,1.12012012012012,1.13513513513514,1.12012012012012,0.594594594594595,0.015015015015015,0,0,0
THP1_n2,1.11158475426279,1.18706118355065,1.13264794383149,1.18279839518556,1.14819458375125,1.06293881644935,0.920260782347041,0.39493480441324,0.11308926780341,0.00852557673019057
THP1_n1,1.09492595290119,1.11944646758922,1.12891478514202,1.15829084729303,1.12138868657441,1.03568827385288,0.953143966982277,0.574411264870114,0.109492595290119,0.00388443797038116
BULK1_n1,1.15006426735219,1.19922879177378,1.21176092544987,1.19505141388175,1.15841902313625,1.07840616966581,0.892352185089974,0.723971722365039,0.340295629820051,0
BULK1_n2,1.02152214597629,1.03555832813475,1.07111665626949,1.11946350592639,1.12383031815346,0.91890205864005,0.680286961946351,0.528696194635059,0.36930754834685,0
BULK2_n1,1.05378409527468,1.05916250480215,1.16288897426047,1.06031502112947,1.06338839800231,1.07721859393008,1.13830195927776,0.504033807145601,0.23780253553592,0
BULK2_n2,1.06872727272727,1.06836363636364,1.13527272727273,1.07054545454545,1.07381818181818,1.06145454545455,1.02,0.594909090909091,0.223272727272727,0
BULK3_n1,1.08121525019857,1.08737092930898,1.10007942811755,1.11934074662431,1.13403494837172,1.03018268467037,0.830023828435266,0.583399523431295,0.223193010325655,0
BULK3_n2,1.07333599043444,1.10382622558788,1.16002391390992,1.1054204862495,1.16141889198884,1.09067357512953,0.755679553607015,0.480271024312475,0.218015145476285,0
BULK4_n1,1.14160725858717,1.14581983149708,1.24400518470512,1.13123784834738,1.15359688917693,0.987038237200259,0.756642903434867,0.645819831497084,0.471808165910564,0
BULK4_n2,0.979433681073025,0.988077496274218,1.03159463487332,1.01520119225037,0.994932935916543,0.909090909090909,0.695081967213115,0.679582712369598,0.493293591654247,0.0190760059612519
BULK5_n1,1.11708558701877,1.14476614699332,1.14174355711104,1.17483296213808,1.12265351574928,1.19774101177219,1.11390391345848,0.811326757874642,0.407731466751511,0
BULK5_n2,1.11460169899022,1.1400865523321,1.14778009296362,1.13848373136721,1.1559544798846,1.15178714537586,1.11315916012181,0.880429556018593,0.386119570443981,0.00785382272800128
BULK6_n1,1.14387865655471,1.14842903575298,1.19609967497291,1.19111592632719,1.15254604550379,1.09447453954496,0.896641386782232,0.854171180931744,0.367497291440953,0.0255687973997833
BULK6_n2,1.047384978372,1.07137239480928,1.0505308690523,1.05859221392057,1.10499410145497,1.08493904836807,0.869445536767597,0.708218639402281,0.338773102634683,0.00294927251278018
