,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.36627335299902,1.45034414945919,1.28515240904621,1.20403146509341,1.31760078662734,1.3677482792527,1.28761061946903,1.16961651917404,1.2173058013766,1.07276302851524
SUDHL4_n2,1.30421555845285,1.3541938287701,1.33333333333333,1.34463276836158,1.33898305084746,1.48370273794003,1.43459365493264,1.34289439374185,1.27553237722729,1.1264667535854
K562_n1,1.14638708407167,1.16292577278992,1.21106517030912,1.20486316203977,1.2056507186454,1.27485725536523,1.21805473518409,1.12000393778303,0.997243551880291,0.692557590076787
K562_n2,1.03897732754462,1.1013024602026,1.17375783888085,1.1155812831645,1.12050168837434,1.18301977809937,1.15552339604438,1.13207911239749,1.08277858176556,0.679787747226242
HL60_n1,1.27314112291351,1.35660091047041,1.41881638846737,1.47344461305008,1.44916540212443,1.39301972685888,1.48254931714719,1.44764795144158,1.00151745068285,0.512898330804249
HL60_n2,1.21428571428571,1.23492063492063,1.23492063492063,1.20952380952381,1.16984126984127,1.32063492063492,1.2984126984127,1.38095238095238,1.08888888888889,0.544444444444444
THP1_n2,1.06319264324452,1.12968639471823,1.15538788021693,1.14171186041028,1.1457203489743,1.1563310539967,1.14831407686866,1.09502475831172,1.01556236736619,0.777175194529592
THP1_n1,1.08366911590424,1.11543019672908,1.13534012799242,1.15074662242238,1.12562218535198,1.1092675989571,1.09386110452714,1.05119696610571,1.01398435648258,0.769850675515525
BULK1_n1,1.14124809741248,1.15129375951294,1.19086757990868,1.17077625570776,1.18721461187215,1.24322678843227,1.13881278538813,1.06666666666667,1.04870624048706,0.739421613394216
BULK1_n2,1.04024024024024,1.04144144144144,1.03543543543544,1.09489489489489,1.13063063063063,1.13273273273273,1.11771771771772,0.996996996996997,0.996696696696697,0.753453453453453
BULK2_n1,1.19880715705765,1.09542743538767,1.14711729622266,1.15467196819085,1.13638170974155,1.14075546719682,1.07355864811133,1.13677932405567,1.06202783300199,0.809940357852883
BULK2_n2,1.13398058252427,1.12427184466019,1.18679611650485,1.22912621359223,1.24621359223301,1.29825242718447,1.18252427184466,1.06873786407767,1.04699029126214,0.834174757281553
BULK3_n1,1.06175908221797,1.09158699808795,1.10344168260038,1.08833652007648,1.14072657743786,1.18279158699809,1.14015296367113,1.07093690248566,1.07629063097514,0.754302103250478
BULK3_n2,1.10717836548021,1.16305428514615,1.17498508649831,1.15669119109167,1.18870550805329,1.23046331278584,1.16822429906542,1.08789023662756,1.11751839331875,0.797772917080931
BULK4_n1,1.05877268798617,1.09161624891962,1.0841256122155,1.05963699222126,1.08153269951023,1.07346585998271,1.02621722846442,1.00172860847018,0.954479976951887,0.82800345721694
BULK4_n2,0.914157050379961,1.00647340275823,0.995215311004785,1.00534759358289,1.03152265690965,1.00900647340276,1.04165493948776,1.06529693217,1.01998311286237,0.843793976920912
BULK5_n1,1.12954854295636,1.1372489808244,1.1537067794051,1.1535557904273,1.10176657104031,1.14676128642609,1.08847954099351,1.12003623735467,1.09753887966178,0.905631888872112
BULK5_n2,1.07153822536076,1.17777095486644,1.08796438440282,1.15597175314707,1.16779244703715,1.19619281547436,1.10730733804114,1.10224132637396,1.0772182990482,0.905741479889469
BULK6_n1,1.16709401709402,1.21752136752137,1.2224358974359,1.19508547008547,1.17307692307692,1.21923076923077,1.18205128205128,1.17735042735043,1.17564102564103,0.862393162393162
BULK6_n2,1.1404958677686,1.18902309811401,1.14494596312778,1.16719643992371,1.13922441195168,1.09006145369782,1.17270608179699,1.12545030726849,1.09896164441619,0.855901674083492
