,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.76487948844073,1.71716674864732,1.81898671913428,1.69995081160846,1.5976389572061,1.66453516969995,1.50319724545007,1.39990162321692,1.42105263157895,1.03738317757009
SUDHL4_n2,1.32380952380952,1.43733333333333,1.42628571428571,1.50285714285714,1.44495238095238,1.54704761904762,1.4647619047619,1.28152380952381,1.33942857142857,1.0167619047619
K562_n1,1.02194375808919,1.05300623602777,1.05577126720791,1.10465937169079,1.08224496999647,1.15925402988587,1.14537004353453,1.13842805035887,1.1230733027415,0.857277326744323
K562_n2,1.05504966887417,1.0667573320719,1.0916508987701,1.10826631977294,1.13428334910123,1.13404683065279,1.10950804162725,1.13209555345317,1.05144276253548,0.813741721854305
HL60_n1,1.39255499153976,1.54483925549915,1.38578680203046,1.31472081218274,1.36040609137056,1.3756345177665,1.74450084602369,1.59390862944162,1.25042301184433,0.241962774957699
HL60_n2,0.834231805929919,0.932614555256065,0.807277628032345,0.707547169811321,0.946091644204852,1.04177897574124,1.21024258760108,1.19407008086253,1.02830188679245,0.285714285714286
THP1_n2,1.12727272727273,1.13752913752914,1.14825174825175,1.20839160839161,1.18997668997669,1.25734265734266,1.26433566433566,1.37738927738928,1.15174825174825,0.716083916083916
THP1_n1,1.14851258581236,1.13798627002288,1.21853546910755,1.23935926773455,1.25057208237986,1.26704805491991,1.32151029748284,1.35194508009153,1.08810068649886,0.640503432494279
BULK1_n1,1.38259705488621,1.27951807228916,1.3384203480589,1.36840696117805,1.35582329317269,1.29825970548862,1.33601070950469,1.14136546184739,1.01552878179384,0.48380187416332
BULK1_n2,0.959417273673257,1.03642039542144,1.13860561914672,1.17981269510926,1.17793964620187,1.21207075962539,1.24599375650364,0.99687825182102,0.9789802289282,0.506555671175859
BULK2_n1,1.06110035941388,1.09648880287531,1.1974011611833,1.14653027370749,1.11971246889688,1.25960740945535,1.2338954935029,1.21896599391761,1.17832457837987,0.645009676527509
BULK2_n2,1.36632468316234,1.23777911888956,1.27097163548582,1.34369342184671,1.2893783946892,1.26885938442969,1.28605914302957,1.13367531683766,1.1997585998793,0.76101388050694
BULK3_n1,1.02357862711542,1.09716676174178,1.11960448754516,1.09459973378969,1.10943145084617,1.15582810420232,1.14717626925271,1.06940482981555,1.04554097737212,0.795018064270774
BULK3_n2,1.06602687140115,1.09750479846449,1.11017274472169,1.09107485604607,1.11401151631478,1.08809980806142,1.15460652591171,1.10700575815739,1.0190019193858,0.729078694817658
BULK4_n1,1.6820998906307,1.31170251549398,1.30113014947138,1.26831935836675,1.26613197229311,1.23915421071819,1.23113379511484,1.12541013488881,1.03973751367116,0.67553773240977
BULK4_n2,1.32520944402133,1.31759329779132,1.33358720487433,1.38233054074638,1.35872048743336,1.25552170601676,1.22772277227723,1.11614623000762,1.03351104341203,0.793983244478294
BULK5_n1,1.07673547600383,1.10051389251807,1.11993728769271,1.10965943733124,1.07751937984496,1.13274105043115,1.14563191359638,1.06375751241181,1.05269575820922,0.818482710565282
BULK5_n2,0.997434801197093,1.03847798204361,1.05848653270628,1.07678495083369,1.01684480547242,1.07002992731937,1.08678922616503,1.06395895681915,1.04104318084652,0.825566481402309
BULK6_n1,1.00813704496788,1.01713062098501,1.01038543897216,1.01177730192719,1.07002141327623,1.06145610278373,1.0771948608137,1.04614561027837,1.00781584582441,0.728586723768737
BULK6_n2,1.10470285446888,1.09405708937763,1.11452971455311,1.1653018249883,1.16284510996724,1.21794571829668,1.22718764623304,1.08189050070192,1.03766963032288,0.702386523163313
