,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,0.866781017724414,0.725557461406518,0.670097198399085,0.710120068610635,0.656375071469411,0.676386506575186,0.598627787307033,0.611206403659234,0.552887364208119,0
SUDHL4_n2,0.570394207562349,0.48994368463395,0.447304907481899,0.510458567980692,0.497184231697506,0.489541432019308,0.496781979082864,0.458970233306516,0.496379726468222,0
K562_n1,0.789175228791197,0.630003930155522,0.609567121441806,0.592611307618887,0.565661669754646,0.575318623322666,0.576890685531413,0.493964404019988,0.470495761046544,0.105440458143844
K562_n2,0.806044177864929,0.69946363688794,0.605398235192341,0.572351346675125,0.560355268469923,0.575350366226426,0.576619182190438,0.49155083914874,0.485264432781591,0.120825883845666
HL60_n1,1.11134020618557,0.903092783505155,0.802061855670103,0.775257731958763,0.787628865979381,0.802061855670103,0.663917525773196,0.515463917525773,0.439175257731959,0
HL60_n2,0.634545454545455,0.616363636363636,0.658181818181818,0.618181818181818,0.634545454545455,0.567272727272727,0.587272727272727,0.569090909090909,0.44,0
THP1_n2,0.907109839313229,0.692053709002862,0.604006163328197,0.585296059872331,0.570768214836011,0.577591899625798,0.553378824565265,0.561303103675985,0.546114902047105,0.0821043363416245
THP1_n1,0.865113296280462,0.657118426678068,0.581231295425395,0.562847370671227,0.562847370671227,0.560923471569047,0.549166310389055,0.547456177853784,0.554082941427961,0.106241983753741
BULK1_n1,0.744301016204339,0.593518264213128,0.562482834386158,0.502059873661082,0.499313375446306,0.515792364734963,0.492447129909366,0.445207360615216,0.411150782751991,0.099423235374897
BULK1_n2,0.655528255528256,0.546928746928747,0.505651105651106,0.495823095823096,0.498034398034398,0.466339066339066,0.426781326781327,0.40982800982801,0.396560196560197,0.0402948402948403
BULK2_n1,0.725654167790666,0.54167790666307,0.465605611006204,0.45238737523604,0.419746425681144,0.39627731319126,0.442945778257351,0.37415700026976,0.384947396816833,0.0385756676557863
BULK2_n2,0.813605857230018,0.594264795607077,0.506101281269067,0.521354484441733,0.48810250152532,0.472849298352654,0.446918852959121,0.450579621720561,0.354484441732764,0.143990237949969
BULK3_n1,0.637810311903246,0.477402928071292,0.404837683004456,0.381740474674911,0.383831954169319,0.351823224515777,0.348822406110757,0.299899972719833,0.325543329999091,0.0932072383377285
BULK3_n2,0.633824599708879,0.468431586608443,0.378548034934498,0.40438500727802,0.371088064046579,0.366448326055313,0.358897379912664,0.326055312954876,0.301491994177584,0.0655021834061135
BULK4_n1,0.844792923200643,0.715721753116204,0.607961399276236,0.57016485725774,0.549658222758343,0.539605950944914,0.541616405307599,0.541214314435062,0.508242862887012,0.0297547245677523
BULK4_n2,1.06238532110092,0.877064220183486,0.685779816513762,0.639908256880734,0.614220183486239,0.626605504587156,0.561467889908257,0.565596330275229,0.573853211009174,0.0408256880733945
BULK5_n1,0.633024567055981,0.471606927104309,0.390414820781313,0.340877970197342,0.352235199355618,0.352718485702779,0.328393072895691,0.298993153443415,0.275231574708015,0.0807088199758357
BULK5_n2,0.688457353310455,0.473759102703608,0.403615970536536,0.429061689126978,0.362852598978823,0.337239474345024,0.333891353477861,0.335816522976479,0.302251611283167,0.0944170084540052
BULK6_n1,0.617787913340935,0.437286202964652,0.388369441277081,0.355872291904219,0.378449258836944,0.353591790193843,0.354047890535918,0.33363740022805,0.280387685290764,0.0579247434435576
BULK6_n2,0.565190268247037,0.473736743605739,0.411228945726762,0.417716781035558,0.391266375545852,0.360573923892701,0.359201497192764,0.330754834684966,0.287461010605115,0.0868371802869619
