,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.84783741532048,1.83845752996352,1.69775924960917,1.40646169880146,1.23970818134445,1.01511203751954,0.491401771756123,0.321000521104742,0.20166753517457,0.128712871287129
SUDHL4_n2,1.30208333333333,1.38387345679012,1.37268518518519,1.23070987654321,1.15354938271605,0.817515432098765,0.471450617283951,0.377314814814815,0.16820987654321,0.130015432098765
K562_n1,1.03762399483477,1.0592240417914,1.02048482714093,0.96718905910665,0.89745847273581,0.763514703292833,0.727592886071491,0.583612138287257,0.47085754534249,0.351763808182192
K562_n2,1.06809396372287,1.07790663098424,1.06934284864704,1.0007136485281,0.92137972048766,0.826940231935772,0.705619982158787,0.603151947665775,0.492595896520963,0.384953910199227
HL60_n1,1.74368932038835,1.78446601941748,1.49514563106796,1.51650485436893,1.28543689320388,1.08543689320388,0.594174757281553,0.275728155339806,0.0621359223300971,0
HL60_n2,0.810773480662983,0.863259668508287,0.888121546961326,0.886740331491713,0.824585635359116,0.732044198895028,0.551104972375691,0.276243093922652,0.0939226519337017,0.0290055248618785
THP1_n2,1.15067484662577,1.25374233128834,1.18846625766871,1.16122699386503,1.03926380368098,0.960490797546012,0.795828220858896,0.62920245398773,0.508466257668712,0.467484662576687
THP1_n1,1.10653536257833,1.11862130707252,1.08952551477171,1.07654431512981,1.02461951656222,0.814234556848702,0.702551477170994,0.528200537153089,0.488137869292748,0.456132497761862
BULK1_n1,1.44745859508852,1.30125642490006,1.26927470017133,1.21302113078241,1.01798972015991,0.807538549400343,0.666476299257567,0.506567675613935,0.420331239291833,0.354368932038835
BULK1_n2,1.15276836158192,1.21830508474576,1.17491525423729,1.04338983050847,0.882033898305085,0.748474576271186,0.524519774011299,0.423728813559322,0.370395480225989,0.305762711864407
BULK2_n1,1.02288269331931,1.16017885323514,1.03287743293004,0.906628090478695,0.840873224618622,0.670436612309311,0.539715938979484,0.433193056286165,0.345607574960547,0.329563387690689
BULK2_n2,1.17305976806423,1.23669342848647,1.14094558429973,1.05887600356824,0.911685994647636,0.665179898899792,0.561700862325305,0.474873624739816,0.368123699078204,0.309842402616711
BULK3_n1,0.998659389064445,1.07430814899933,1.0039260748827,0.894857799482907,0.776501005458202,0.58843244278464,0.50186727951738,0.381978358709183,0.329694532222541,0.263238532988605
BULK3_n2,1.03598003202411,1.0439860600923,1.05236884242253,0.900819440519921,0.747480455872657,0.57144202693793,0.446642177639635,0.404257323160968,0.320994631251766,0.282848262220966
BULK4_n1,1.50436432637571,1.50246679316888,1.39013282732448,1.29981024667932,0.996584440227704,0.91157495256167,0.636812144212524,0.472106261859583,0.349146110056926,0.312713472485768
BULK4_n2,1.40601503759399,1.4703007518797,1.36428571428571,1.17857142857143,1.06616541353383,0.866917293233083,0.553759398496241,0.443233082706767,0.332706766917293,0.330075187969925
BULK5_n1,1.05268093086693,1.02301594067002,1.03350098030858,0.895149603614355,0.737959253260592,0.576591935896343,0.471912027960106,0.387605489728071,0.331003324524763,0.273974938197937
BULK5_n2,1.00104166666667,1.03012152777778,0.974305555555556,0.934201388888889,0.73984375,0.586024305555556,0.454079861111111,0.404340277777778,0.336631944444444,0.317274305555556
BULK6_n1,0.958019494904741,1.01750110766504,1.00354452813469,0.864421798848028,0.735157288435977,0.575764288879043,0.497230837394772,0.405626938413824,0.367412494461675,0.323881258307488
BULK6_n2,1.10434250764526,1.09162079510703,1.07180428134557,0.952415902140673,0.772232415902141,0.592905198776758,0.478532110091743,0.43217125382263,0.35474006116208,0.311070336391437
