,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
THP1_n1,1.42198952879581,1.39842931937173,1.38324607329843,1.2586387434555,1.3455497382199,1.47329842931937,1.59895287958115,1.67853403141361,1.99842931937173,0.538219895287958
THP1_n2,1.16250528988574,1.1595429538722,1.14515446466356,1.14896318239526,1.25560727888278,1.48920863309353,1.72746508675413,1.73508252221752,1.88700804062632,0.426999576809141
K562_n1,1.14067861227602,1.08434998093786,1.14325200152497,1.1291460160122,0.975981700343119,0.561856652687762,0.0686237133053755,0.00772016774685475,0.00829203202439954,0
K562_n2,1.00680772769089,1.0360625574977,1.05519779208832,1.04360625574977,0.897424103035879,0.516835326586937,0.0879484820607176,0.0224471021159154,0.00459981600735971,0
HL60_n1,1.25766871165644,1.32055214723926,1.33435582822086,1.29447852760736,1.32208588957055,1.29601226993865,1.46779141104294,1.5138036809816,1.64723926380368,1.1840490797546
HL60_n2,1.13079470198676,1.13741721854305,1.18377483443709,1.20695364238411,1.24834437086093,1.42384105960265,1.57615894039735,1.52649006622517,1.77980132450331,1.25
SUDHL4_n2,1.08915486077186,1.08353688324377,1.09037616023449,1.09062042012702,1.11895456765999,1.1323888617489,1.11211529066927,1.09135319980459,1.10991695163654,1.14631167562286
SUDHL4_n1,1.08470926058866,1.08375209380235,1.09906676238335,1.05695142378559,1.11031347212252,1.10552763819095,1.12179947355827,1.09356305336205,1.10552763819095,1.11557788944724
BULK1_n1,1.04475355306925,1.10160266102207,1.11762927124282,1.10281221651043,1.13456304807983,1.02963410946477,0.970063501663139,0.954339280314484,1.05382521923193,0.711218627154521
BULK1_n2,0.991393050685368,1.01880777813197,1.00573796620975,1.03984698756774,1.06981192221868,1.02454574434173,0.932100733184571,1.0038253108065,1.10328339177558,0.760599298693019
BULK2_n1,1.13868036349269,1.08889766890557,1.10746740418807,1.0644014223627,1.09047807190834,0.94192018964836,0.792572105887001,0.789806400632161,0.839193994468589,0.742789411299882
BULK2_n2,1.05963302752294,1.10779816513761,1.07454128440367,1.08792048929664,1.05886850152905,0.938073394495413,0.788990825688073,0.807721712538226,0.809250764525994,0.697247706422018
BULK3_n1,1.0990990990991,1.06032119075597,1.06188797493145,1.06227967097532,0.961613787700744,0.752448100274187,0.443204073638856,0.405405405405405,0.429298864081473,0.398354876615746
BULK3_n2,1.09122401847575,1.07409545804465,1.06023864511162,1.05735180908391,0.947459584295612,0.759045419553503,0.463433410315627,0.409738260200154,0.395881447267129,0.376443418013857
BULK4_n1,1.11472768288753,1.1076377699001,1.1427650660651,1.14953271028037,1.11214953271028,1.22365452787625,1.25459233000322,1.32226877215598,1.42732839187883,0.883660973251692
BULK4_n2,1.02354694485842,1.01967213114754,1.05156482861401,1.01132637853949,1.02861400894188,1.10104321907601,1.24441132637854,1.27779433681073,1.38479880774963,0.84053651266766
BULK5_n1,1.11130770468071,1.12015441531285,1.04375100530803,1.08364162779476,0.995174521473379,0.76998552356442,0.507801190284703,0.465176129966222,0.500562972494772,0.425607206047933
BULK5_n2,1.10255144032922,1.11917695473251,1.08724279835391,1.079670781893,1.04855967078189,0.796049382716049,0.512592592592593,0.45761316872428,0.488230452674897,0.438024691358025
BULK6_n1,1.12911003945638,1.1744848750548,1.13963174046471,1.13590530469093,1.00723366944323,0.767426567295046,0.519289785181938,0.496711968434897,0.558088557650153,0.434239368697939
BULK6_n2,1.09744030974403,1.14712841471284,1.14583781458378,1.15035491503549,1.05420520542052,0.836523983652398,0.550656055065606,0.496881049688105,0.524413852441385,0.422886642288664
