,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.18863319386332,1.25767085076709,1.1420269642027,1.23419339841934,1.22257089725709,0.993375174337517,0.226638772663877,0.128079962807996,0.0359135285913529,0.0247559274755927
SUDHL4_n2,1.23635921740187,1.25094179122615,1.29784907036092,1.2654028436019,1.2259083728278,1.03621339166363,0.225786851379268,0.143759873617694,0.0303803621339166,0.0319601409648803
K562_n1,0.937896011926947,0.924058889303019,0.918048825941111,0.983973164368245,0.99566716362281,0.91613865076407,0.668095415579575,0.495201267238166,0.406401416325009,0.385529258292956
K562_n2,0.930827961413615,0.91971837425136,0.924290220820189,0.971517395876194,0.970877337356558,0.872399762263978,0.646047638641247,0.471037351986467,0.406254286106158,0.379006080555937
HL60_n1,1.32286995515695,1.39262580966617,1.42152466367713,1.28500249128052,1.09566517189836,0.539113104135526,0,0,0,0
HL60_n2,1.26426735218509,1.43804627249357,1.4159383033419,1.3012853470437,1.05244215938303,0.55681233933162,0,0,0,0
THP1_n2,1.13631687242798,1.11584362139918,1.10997942386831,1.07314814814815,1.06234567901235,1.07829218106996,1.00833333333333,0.874588477366255,0.529320987654321,0.0846707818930041
THP1_n1,1.09205446047551,1.07986181670392,1.09256248729933,1.1183702499492,1.10282462914042,1.07478154846576,1.01656167445641,0.906827880512091,0.522861207071733,0.0870757976021134
BULK1_n1,1.17539979584893,1.14877509356924,1.1594079618918,1.14018373596461,1.11721674038789,0.888907791765907,0.552313712146989,0.360241578768289,0.156941136440966,0.085318135420211
BULK1_n2,1.26447442383361,1.2734682405846,1.31712572606333,1.26147648491662,1.16057710324152,0.895446880269814,0.538036350009369,0.342327150084317,0.128255574292674,0.0789769533445756
BULK2_n1,1.15405578711125,1.16159025328631,1.17545687720423,1.17409426098108,1.05899326707278,0.732927220262905,0.385860852837448,0.250961846745752,0.106284065405579,0.07782943251042
BULK2_n2,1.13773082815902,1.1357148617047,1.18288847673575,1.14643980324167,1.04209337956616,0.750423352955407,0.413192484477058,0.243770663656157,0.110878154987501,0.0819288767034917
BULK3_n1,1.03716619253005,1.03404606772506,1.03335780490043,1.01518766633018,0.994585665779572,0.892034504909608,0.502890703863449,0.344498485821786,0.202165733688171,0.132284114894008
BULK3_n2,1.04268067846608,1.03959255162242,1.03876290560472,1.02779314159292,0.980825958702065,0.881037979351032,0.46976401179941,0.336744100294985,0.201281342182891,0.137352507374631
BULK4_n1,1.11178355286579,1.02207191171235,1.01162928681619,1.02847988608046,1.04580515011273,1.0435504924647,0.729203749851667,0.455084846327281,0.120090186305921,0.0405838376646493
BULK4_n2,1.26969427882786,1.1971330711658,1.18546238741596,1.13269060002537,1.16326271723963,1.16123303310922,0.781301534948624,0.544462767981733,0.155651401750603,0.0432576430293036
BULK5_n1,1.03244283769191,1.0474200666698,1.05300718343584,1.0402835813888,1.02737217709752,0.915207286727076,0.596037372646603,0.470209869007935,0.302784168270811,0.199445983379501
BULK5_n2,1.02473157749839,1.01917959071304,1.04051573827659,1.0100027530513,1.00486372396072,0.925942920069744,0.596540332201523,0.443700100945214,0.284849041020464,0.207304762778746
BULK6_n1,1.05571366552506,1.04162847908929,1.0676764266075,1.0626115479234,1.00139887125561,0.830929525830881,0.460228643094882,0.341565771067483,0.199073850754908,0.13212097824514
BULK6_n2,1.04782885396779,1.06378812356195,1.07534145983257,1.06892837910609,1.01453957996769,0.84784843589367,0.471385910804328,0.340627600724531,0.203847848435894,0.129632349341558
